CUSTOMER -> | id customer:51 | n. bought products:69 | time in the supermarket: 15.839 s | time in queue: 15.698 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:58 | n. bought products:5 | time in the supermarket: 13.658 s | time in queue: 13.477 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:5 | n. bought products:97 | time in the supermarket: 17.853 s | time in queue: 17.663 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:11 | n. bought products:79 | time in the supermarket: 17.864 s | time in queue: 17.670 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:40 | n. bought products:10 | time in the supermarket: 18.137 s | time in queue: 17.939 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:65 | n. bought products:69 | time in the supermarket: 12.998 s | time in queue: 12.972 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:52 | n. bought products:23 | time in the supermarket: 17.677 s | time in queue: 17.643 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:16 | n. bought products:56 | time in the supermarket: 19.035 s | time in queue: 18.837 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:53 | n. bought products:28 | time in the supermarket: 18.311 s | time in queue: 18.272 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:56 | n. bought products:46 | time in the supermarket: 18.276 s | time in queue: 18.129 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:54 | n. bought products:34 | time in the supermarket: 18.316 s | time in queue: 18.273 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:66 | n. bought products:99 | time in the supermarket: 13.551 s | time in queue: 13.496 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:55 | n. bought products:16 | time in the supermarket: 18.709 s | time in queue: 18.566 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:69 | n. bought products:40 | time in the supermarket: 13.264 s | time in queue: 13.100 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:59 | n. bought products:59 | time in the supermarket: 18.403 s | time in queue: 18.323 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:60 | n. bought products:92 | time in the supermarket: 17.607 s | time in queue: 17.521 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:73 | n. bought products:87 | time in the supermarket: 13.925 s | time in queue: 13.799 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:63 | n. bought products:58 | time in the supermarket: 17.780 s | time in queue: 17.586 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:57 | n. bought products:75 | time in the supermarket: 19.977 s | time in queue: 19.800 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:75 | n. bought products:47 | time in the supermarket: 14.129 s | time in queue: 13.947 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:67 | n. bought products:53 | time in the supermarket: 17.447 s | time in queue: 17.315 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:61 | n. bought products:46 | time in the supermarket: 19.958 s | time in queue: 19.839 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:68 | n. bought products:58 | time in the supermarket: 18.669 s | time in queue: 18.533 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:62 | n. bought products:76 | time in the supermarket: 21.551 s | time in queue: 21.432 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:71 | n. bought products:76 | time in the supermarket: 19.139 s | time in queue: 19.071 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:64 | n. bought products:63 | time in the supermarket: 21.831 s | time in queue: 21.633 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:70 | n. bought products:70 | time in the supermarket: 20.602 s | time in queue: 20.409 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:72 | n. bought products:29 | time in the supermarket: 20.139 s | time in queue: 20.065 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:77 | n. bought products:6 | time in the supermarket: 19.560 s | time in queue: 19.521 s | n. queues checked: 1 | 
CASHIER -> | id:1 | n. bought products:1379 | n. customers:28 | time opened: 29.356 s | avg service time: 1.047 s | number of clousure:1 |
CASHIER -> | id:2 | n. bought products:1263 | n. customers:26 | time opened: 29.357 s | avg service time: 1.045 s | number of clousure:1 |
CASHIER -> | id:3 | n. bought products:1169 | n. customers:21 | time opened: 29.357 s | avg service time: 1.138 s | number of clousure:1 |
CASHIER -> | id:4 | n. bought products:93 | n. customers:2 | time opened: 23.355 s | avg service time: 1.001 s | number of clousure:1 |
CASHIER -> | id:5 | n. bought products:0 | n. customers:0 | time opened: 0.000 s | avg service time: 0.000 s | number of clousure:0 |
CASHIER -> | id:6 | n. bought products:0 | n. customers:0 | time opened: 0.000 s | avg service time: 0.000 s | number of clousure:0 |
TOTAL CUSTOMERS SERVED: 77
TOTAL PRODUCTS BOUGHT: 3904
