Cliente -> | id Cliente:62 | n. bought products:58 | time in the supermarket: 11.002 s | time in queue: 1.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:50 | n. bought products:70 | time in the supermarket: 12.009 s | time in queue: 4.009 s | n. queues checked: 1 | 
Cliente -> | id Cliente:55 | n. bought products:70 | time in the supermarket: 12.008 s | time in queue: 5.007 s | n. queues checked: 1 | 
Cliente -> | id Cliente:81 | n. bought products:35 | time in the supermarket: 5.008 s | time in queue: 5.007 s | n. queues checked: 1 | 
Cliente -> | id Cliente:80 | n. bought products:6 | time in the supermarket: 5.009 s | time in queue: 5.008 s | n. queues checked: 1 | 
Cliente -> | id Cliente:82 | n. bought products:65 | time in the supermarket: 6.007 s | time in queue: 4.006 s | n. queues checked: 1 | 
Cliente -> | id Cliente:88 | n. bought products:24 | time in the supermarket: 4.006 s | time in queue: 4.005 s | n. queues checked: 1 | 
Cliente -> | id Cliente:7 | n. bought products:91 | time in the supermarket: 13.017 s | time in queue: 5.016 s | n. queues checked: 1 | 
Cliente -> | id Cliente:33 | n. bought products:80 | time in the supermarket: 14.002 s | time in queue: 1.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:77 | n. bought products:88 | time in the supermarket: 8.011 s | time in queue: 4.010 s | n. queues checked: 1 | 
Cliente -> | id Cliente:14 | n. bought products:75 | time in the supermarket: 14.016 s | time in queue: 6.016 s | n. queues checked: 1 | 
Cliente -> | id Cliente:46 | n. bought products:47 | time in the supermarket: 14.015 s | time in queue: 6.014 s | n. queues checked: 1 | 
Cliente -> | id Cliente:78 | n. bought products:18 | time in the supermarket: 7.013 s | time in queue: 6.012 s | n. queues checked: 1 | 
Cliente -> | id Cliente:44 | n. bought products:87 | time in the supermarket: 15.002 s | time in queue: 2.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:15 | n. bought products:85 | time in the supermarket: 15.016 s | time in queue: 4.015 s | n. queues checked: 1 | 
Cliente -> | id Cliente:9 | n. bought products:50 | time in the supermarket: 15.019 s | time in queue: 6.018 s | n. queues checked: 1 | 
Cliente -> | id Cliente:95 | n. bought products:60 | time in the supermarket: 5.993 s | time in queue: 2.992 s | n. queues checked: 1 | 
Cliente -> | id Cliente:93 | n. bought products:24 | time in the supermarket: 5.993 s | time in queue: 1.992 s | n. queues checked: 1 | 
Cliente -> | id Cliente:52 | n. bought products:81 | time in the supermarket: 16.013 s | time in queue: 12.013 s | n. queues checked: 2 | 
Cliente -> | id Cliente:51 | n. bought products:51 | time in the supermarket: 16.015 s | time in queue: 6.015 s | n. queues checked: 1 | 
Cliente -> | id Cliente:83 | n. bought products:47 | time in the supermarket: 9.014 s | time in queue: 6.013 s | n. queues checked: 1 | 
Cliente -> | id Cliente:73 | n. bought products:42 | time in the supermarket: 11.018 s | time in queue: 5.017 s | n. queues checked: 1 | 
Cliente -> | id Cliente:75 | n. bought products:29 | time in the supermarket: 10.018 s | time in queue: 5.018 s | n. queues checked: 1 | 
Cliente -> | id Cliente:90 | n. bought products:59 | time in the supermarket: 8.001 s | time in queue: 1.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:1 | n. bought products:56 | time in the supermarket: 17.019 s | time in queue: 12.018 s | n. queues checked: 2 | 
Cliente -> | id Cliente:30 | n. bought products:63 | time in the supermarket: 18.016 s | time in queue: 13.016 s | n. queues checked: 2 | 
Cliente -> | id Cliente:56 | n. bought products:28 | time in the supermarket: 18.014 s | time in queue: 14.013 s | n. queues checked: 2 | 
Cliente -> | id Cliente:37 | n. bought products:99 | time in the supermarket: 18.020 s | time in queue: 6.019 s | n. queues checked: 1 | 
Cliente -> | id Cliente:86 | n. bought products:36 | time in the supermarket: 10.016 s | time in queue: 5.015 s | n. queues checked: 1 | 
Cliente -> | id Cliente:58 | n. bought products:87 | time in the supermarket: 18.019 s | time in queue: 14.019 s | n. queues checked: 2 | 
Cliente -> | id Cliente:94 | n. bought products:30 | time in the supermarket: 9.008 s | time in queue: 8.007 s | n. queues checked: 1 | 
Cliente -> | id Cliente:84 | n. bought products:77 | time in the supermarket: 11.017 s | time in queue: 4.016 s | n. queues checked: 1 | 
Cliente -> | id Cliente:89 | n. bought products:53 | time in the supermarket: 11.013 s | time in queue: 8.012 s | n. queues checked: 1 | 
Cliente -> | id Cliente:63 | n. bought products:88 | time in the supermarket: 18.023 s | time in queue: 2.023 s | n. queues checked: 1 | 
Cliente -> | id Cliente:85 | n. bought products:82 | time in the supermarket: 13.002 s | time in queue: 1.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:10 | n. bought products:80 | time in the supermarket: 21.022 s | time in queue: 6.021 s | n. queues checked: 1 | 
Cliente -> | id Cliente:76 | n. bought products:59 | time in the supermarket: 15.021 s | time in queue: 3.021 s | n. queues checked: 1 | 
Cliente -> | id Cliente:91 | n. bought products:89 | time in the supermarket: 12.999 s | time in queue: 1.999 s | n. queues checked: 1 | 
Cliente -> | id Cliente:57 | n. bought products:82 | time in the supermarket: 21.022 s | time in queue: 6.021 s | n. queues checked: 1 | 
Cliente -> | id Cliente:45 | n. bought products:93 | time in the supermarket: 23.021 s | time in queue: 7.020 s | n. queues checked: 1 | 
Cliente -> | id Cliente:4 | n. bought products:98 | time in the supermarket: 23.026 s | time in queue: 4.025 s | n. queues checked: 1 | 
Cliente -> | id Cliente:92 | n. bought products:95 | time in the supermarket: 15.002 s | time in queue: 1.001 s | n. queues checked: 1 | 
Cliente -> | id Cliente:11 | n. bought products:86 | time in the supermarket: 24.025 s | time in queue: 7.024 s | n. queues checked: 1 | 
